Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 6267, PID 15, -> Ready (Preempted)
Jiffies 6267, PID 14, -> Running
Jiffies 6272, PID 14, -> Ready (Preempted)
Jiffies 6272, PID 13, -> Running
Jiffies 6277, PID 13, -> Ready (Preempted)
Jiffies 6277, PID 17, -> Running
Jiffies 6282, PID 17, -> Ready (Preempted)
Jiffies 6282, PID 16, -> Running
Jiffies 6287, PID 16, -> Ready (Preempted)
Jiffies 6287, PID 15, -> Running
Jiffies 6292, PID 15, -> Ready (Preempted)
Jiffies 6292, PID 14, -> Running
Jiffies 6297, PID 14, -> Ready (Preempted)
Jiffies 6297, PID 13, -> Running
Jiffies 6302, PID 13, -> Ready (Preempted)
Jiffies 6302, PID 17, -> Running
Jiffies 6307, PID 17, -> Ready (Preempted)
Jiffies 6307, PID 16, -> Running
Jiffies 6312, PID 16, -> Ready (Preempted)
Jiffies 6312, PID 15, -> Running
Jiffies 6317, PID 15, -> Ready (Preempted)
Jiffies 6317, PID 14, -> Running
Jiffies 6322, PID 14, -> Ready (Preempted)
Jiffies 6322, PID 13, -> Running
Jiffies 6327, PID 13, -> Ready (Preempted)
Jiffies 6327, PID 17, -> Running
Jiffies 6332, PID 17, -> Ready (Preempted)
Jiffies 6332, PID 16, -> Running
Jiffies 6337, PID 16, -> Ready (Preempted)
Jiffies 6337, PID 15, -> Running
Jiffies 6342, PID 15, -> Ready (Preempted)
Jiffies 6342, PID 14, -> Running
Jiffies 6347, PID 14, -> Ready (Preempted)
Jiffies 6347, PID 13, -> Running
Jiffies 6352, PID 13, -> Ready (Preempted)
